slug,oldCategory,newCategory,suggestedTags,reason
"paichl_knihy_hodiny_hodiny_slovnik_slovnik","sbirka","zajimavosti","","OVERRIDE: slovník (meta-page kandidát)"
"papir","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"perpetum_mobile","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"pichacky","projekty","konstrukce","mechanicke","OVERRIDE: kontrolní hodiny — mechanismus"
"pilovky","sbirka","konstrukce","kyvadlo","OVERRIDE: samonivelační kyvadlo"
"pneumatika","projekty","konstrukce","pneumaticke","OVERRIDE: pneumatický pohon"
"pneumatika2","projekty","konstrukce","pneumaticke;1800s","OVERRIDE: pneumatický systém Paříž"
"podebrady","sbirka","virtualni-muzeum","kvetinove;cesko","OVERRIDE: Poděbrady květinové"
"podebrady1","sbirka","virtualni-muzeum","kvetinove;cesko","OVERRIDE: Poděbrady 1"
"podebrady1b","sbirka","virtualni-muzeum","kvetinove;cesko","OVERRIDE: Poděbrady ohlasy"
"podebrady2","sbirka","virtualni-muzeum","kvetinove;cesko","OVERRIDE: Poděbrady 2"
"podebrady3","sbirka","virtualni-muzeum","kvetinove;cesko","OVERRIDE: Poděbrady trpaslík"
"podebrady4","sbirka","virtualni-muzeum","kvetinove;cesko","OVERRIDE: Poděbrady 4"
"podruzne_sekundove","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"pragotron1","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"prehled_zvonu","vezni-hodiny","sbirka","","DEFAULT: vezni-hodiny → sbirka"
"prestavby","sbirka","zajimavosti","","OVERRIDE: esej o přestavbách"
"propeller_clock","projekty","projekty","","DEFAULT: projekty → projekty"
"pulsynetic","sbirka","konstrukce","pulsynetic;synchronni;elektromagneticke","OVERRIDE: systém řízení"
"radiotelegraficke_signaly","projekty","projekty","","DEFAULT: projekty → projekty"
"razitka","sbirka","zajimavosti","","OVERRIDE: kvalifikované časové razítko (legal/IT)"
"rimskedigi","projekty","projekty","","DEFAULT: projekty → projekty"
"rimskedigi2","projekty","projekty","","DEFAULT: projekty → projekty"
"rizeni_kyvadla","projekty","konstrukce","kyvadlo;elektricke","OVERRIDE: regulace kyvadla"
"rozmberk1","vezni-hodiny","kronika","","OVERRIDE: pozvánka pro Petra Voka 2014"
"rozmberk2","vezni-hodiny","kronika","","OVERRIDE: historie Petra Voka 2014"
"ruzne","sbirka","zajimavosti","","OVERRIDE: Různé o čase"
"schaffhausen","vezni-hodiny","virtualni-muzeum","kapesni;schaffhausen","OVERRIDE: IWC Schaffhausen 1885"
"segmentovky_s_prekladem","projekty","projekty","","DEFAULT: projekty → projekty"
"sestka","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"settopbox","projekty","projekty","","DEFAULT: projekty → projekty"
"sezona2012","decin","kronika","","OVERRIDE: sezóna 2012"
"sezona2012_foto_marusak","decin","kronika","","OVERRIDE: fotoreport sezóny 2012"
"sezona2013","decin","kronika","","OVERRIDE: sezóna 2013"
"sitovky","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"skymaster_ghost","projekty","projekty","","DEFAULT: projekty → projekty"
"slunecni","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"slunecni_digi","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"slunecni_filler","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"slunecni_polarizacni","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"sobeslav2","vezni-hodiny","kronika","sobeslav;historie-spolku","OVERRIDE: Soběslav historie"
"sobeslav2b","vezni-hodiny","kronika","sobeslav;historie-spolku","OVERRIDE: Soběslav historie chronologie"
"sobeslav2c","vezni-hodiny","kronika","sobeslav;historie-spolku","OVERRIDE: Soběslav hypotézy"
"sobeslav3","vezni-hodiny","kronika","sobeslav;historie-spolku","OVERRIDE: Soběslav restaurace začátek"
"spinka","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"steampunk","sbirka","kronika","","OVERRIDE: výstavka 2012"
"svarcvaldky","sbirka","konstrukce","mechanicke","OVERRIDE: švarcvaldky obecně"
"svarcvaldky_17stol","sbirka","konstrukce","mechanicke;1700s","OVERRIDE: historie švarcvaldek"
"svarcvaldky_18stol","sbirka","konstrukce","mechanicke;1700s","OVERRIDE: historie švarcvaldek"
"svarcvaldky_hraci","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"svarcvaldky_stroje","sbirka","konstrukce","mechanicke","OVERRIDE: mechanismy švarcvaldek"
"svarcvaldky_stroje2","sbirka","konstrukce","mechanicke;1800s","OVERRIDE: štolové stroje"
"svarcvaldky_stroje_polodrev","sbirka","konstrukce","mechanicke;1800s","OVERRIDE: polodřevěné mechanismy"
"svarcvaldky_surrerwerk","sbirka","konstrukce","mechanicke;1800s","OVERRIDE: surrerwerk mechanismus"
"svetlonos","projekty","virtualni-muzeum","cesko","OVERRIDE: Sezimovo Ústí"
"svitici","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"synchron_bici","projekty","projekty","","DEFAULT: projekty → projekty"
"synchronizace_hodin","projekty","konstrukce","synchronni","OVERRIDE: obecný princip synchronizace"
"tabor","vezni-hodiny","virtualni-muzeum","vezni;cesko","OVERRIDE: táborský orloj"
"ukazatele","sbirka","konstrukce","","OVERRIDE: typy ukazatelů"
"uspirku","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"vez1","vezni-hodiny","kronika","sobeslav;historie-spolku","OVERRIDE: Soběslav historie"
"vez_Budislav","vezni-hodiny","sbirka","","DEFAULT: vezni-hodiny → sbirka"
"vez_Kli","vezni-hodiny","sbirka","","DEFAULT: vezni-hodiny → sbirka"
"vez_Prysk","vezni-hodiny","sbirka","","DEFAULT: vezni-hodiny → sbirka"
"vez_Zlate_Hory","vezni-hodiny","sbirka","","DEFAULT: vezni-hodiny → sbirka"
"vez_decin","vezni-hodiny","sbirka","","DEFAULT: vezni-hodiny → sbirka"
"vez_elektrocas1959","vezni-hodiny","sbirka","","DEFAULT: vezni-hodiny → sbirka"
"vez_instalace1","vezni-hodiny","kronika","","OVERRIDE: instalace 2011"
"vez_provoz2011","vezni-hodiny","kronika","","OVERRIDE: sezóna Soběslav 2011"
"vez_signatury","vezni-hodiny","kronika","sobeslav;historie-spolku","OVERRIDE: Soběslav signatury"
"vezni2021","vezni-hodiny","sbirka","","DEFAULT: vezni-hodiny → sbirka"
"vezni_muzejicko","vezni-hodiny","kronika","sobeslav;historie-spolku","OVERRIDE: historie Soběslav 2009-2015"
"vezni_muzejicko_evropa","vezni-hodiny","muzea","evropa","OVERRIDE: fenomén věžních muzeí"
"vezni_zikmund1","vezni-hodiny","sbirka","","DEFAULT: vezni-hodiny → sbirka"
"vlachynsky","projekty","virtualni-muzeum","cesko","OVERRIDE: Holiday Inn Brno"
"vodni","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"vodni_B_Gitton","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"vodni_budik","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"vodni_jegorov","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"vodni_minutky","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"vodni_odkazy","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"youtube","sbirka","zajimavosti","","OVERRIDE: sbírka videí o hodinách"
"zapekane","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"zidovske","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"zmizele","sbirka","virtualni-muzeum","","OVERRIDE: zmizelé hodiny"
"zvon_petr_pavel","vezni-hodiny","sbirka","","DEFAULT: vezni-hodiny → sbirka"
"zvon_petr_vok","vezni-hodiny","sbirka","","DEFAULT: vezni-hodiny → sbirka"
"zvony_uvod","vezni-hodiny","sbirka","","DEFAULT: vezni-hodiny → sbirka"
"zvony_vyroba","vezni-hodiny","sbirka","","DEFAULT: vezni-hodiny → sbirka"
